timestamp,rollspeed,pitchspeed,yawspeed,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
28027210,-3.0214433e-06,0.0014537729,-0.0022175796,0.993692,-0.0018211541,-0.01683111,0.110858425,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28059179,0.00048582227,0.00071694545,0.0002160949,0.993695,-0.0018095701,-0.016823187,0.11083277,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28103184,0.0005819726,0.00093077077,-0.00031796366,0.9936991,-0.0018111505,-0.016817171,0.11079744,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28135186,-0.0009955972,-0.0016226335,0.00055831054,0.9937004,-0.0018072702,-0.016831271,0.110783316,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28167179,0.0014671691,-0.0008807193,0.0013565931,0.99370176,-0.0018066779,-0.016838804,0.11077071,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28199179,-6.447488e-05,-0.0006657629,-0.00074448256,0.99370474,-0.001799141,-0.016841354,0.11074329,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28231184,-0.0019702576,0.00039961422,-0.00027837686,0.99370694,-0.0018108503,-0.016852152,0.1107224,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28263179,-0.0014780872,-0.0023700579,0.003000413,0.9937082,-0.0018186924,-0.016851142,0.11071108,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28295181,0.000489459,-0.002581865,0.00029918517,0.9937109,-0.00180925,-0.01686514,0.1106838,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28327180,0.0013226487,0.00039943366,-0.0005718176,0.99371475,-0.001806014,-0.016874036,0.11064847,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28359179,0.0010578389,-0.0029017203,0.0020944737,0.99371475,-0.001814712,-0.016888231,0.11064629,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28391179,0.0018898736,-0.0023692076,0.0011197139,0.9937142,-0.0018004845,-0.016912883,0.11064738,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28423179,0.00012868049,0.0011446123,-0.0017200193,0.99371856,-0.0018024319,-0.01689473,0.11061079,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28455179,7.516041e-05,-0.0024751083,0.0008332862,0.99372,-0.0017935139,-0.016891068,0.11059858,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28487179,0.00041473884,0.0007176235,0.0017840279,0.99371904,-0.0017916732,-0.016892608,0.11060716,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28519179,0.00015211117,0.0007183335,-0.00065868907,0.9937201,-0.0017790821,-0.016895363,0.11059707,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28551190,-0.0005277926,-0.0036419611,0.0027555544,0.9937226,-0.0017763167,-0.016879234,0.110577516,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28582380,0.0015235565,0.003911992,-0.0012275603,0.9937234,-0.0017612329,-0.016880587,0.11057057,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28614379,0.0016457424,-0.001090135,-0.00048366527,0.9937263,-0.0017577618,-0.01688862,0.110543594,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28646379,-0.001999753,0.00082659,-0.0017872043,0.99372756,-0.0017719354,-0.016895711,0.11052995,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28678402,0.0023940946,-0.0031230436,-0.0010278225,0.9937275,-0.001771617,-0.016892366,0.11053177,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28710379,0.00010591082,-0.00013415492,0.0022170832,0.9937288,-0.0017692142,-0.01686947,0.1105228,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28742379,-0.0009819567,-0.0005557885,0.0009674281,0.9937258,-0.0017609709,-0.016883804,0.11054844,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
28774379,0.0009009994,8.27201e-05,-0.000669688,0.9937239,-0.0017537086,-0.01687416,0.11056648,0.9999998,2.345478e-05,-5.28978e-06,0.00072167616,2
