timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
28103184,0,0.0,0.0,0.0,0.0,0.1563231,7.14853e-08,-5.745153e-09,0.0,0.006631621,-0.00313576,0.04143329,0.033920135,1.7871325e-05,-1.4362881e-06,0.0,0.0040594093,-0.015047767,-0.010075787,0.22220376,0.0,0.1,-0.04143329,0.17533837,0.7314658,0.12630144,0.17864846,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
28303179,0,0.0,0.0,0.0,0.0,0.15228112,7.14853e-08,-5.745153e-09,0.0,0.0079100225,-0.0026322813,0.041168682,0.024133908,1.7871325e-05,-1.4362881e-06,0.0,7.1696304e-05,0.004595659,0.03302743,0.22195804,0.0,0.1,-0.041168682,0.17914663,0.7362521,0.12792768,0.17964019,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
28407182,0,0.0,0.0,0.0,0.0,0.15082097,7.14853e-08,-5.745153e-09,0.0,0.008440227,-0.0023985016,0.040658895,0.02000486,1.7871325e-05,-1.4362881e-06,0.0,0.011976767,-0.00082205946,-0.0012156403,0.22187036,0.0,0.1,-0.040658895,0.1786219,0.73527026,0.12760139,0.17962106,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
28511179,0,0.0,0.0,0.0,0.0,0.1516677,7.14853e-08,-5.745153e-09,0.0,0.0087745,-0.002080594,0.040702578,0.019130742,1.7871325e-05,-1.4362881e-06,0.0,0.01806182,-0.004184393,-0.021062853,0.22180627,0.0,0.1,-0.040702578,0.17810597,0.7343164,0.12728857,0.17960724,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
28606379,0,0.0,0.0,0.0,0.0,0.1501186,7.14853e-08,-5.745153e-09,0.0,0.008673692,-0.0018197731,0.03978361,0.015267537,1.7871325e-05,-1.4362881e-06,0.0,0.006880069,-0.0025395076,0.011315506,0.22170636,0.0,0.1,-0.03978361,0.17678082,0.73224866,0.1266101,0.17941178,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
28710379,0,0.0,0.0,0.0,0.0,0.14653528,7.14853e-08,-5.745153e-09,0.0,0.0088047525,-0.0016230674,0.03842465,0.009193953,1.7871325e-05,-1.4362881e-06,0.0,0.012697918,-0.0073069516,0.0027836598,0.22165026,0.0,0.1,-0.03842465,0.17615652,0.7312121,0.12624009,0.17939721,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
28910379,0,0.0,0.0,0.0,0.0,0.1380875,7.14853e-08,-5.745153e-09,0.0,0.009629736,-0.0017722225,0.036347173,-0.0014872641,1.7871325e-05,-1.4362881e-06,0.0,0.006294229,0.0062467735,-0.009300192,0.22174075,0.0,0.1,-0.036347173,0.17445213,0.72838974,0.12535049,0.17922002,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
29214379,0,0.0,0.0,0.0,0.0,0.13289958,7.14853e-08,-5.745153e-09,0.0,0.009578687,-0.002966208,0.034378078,-0.006394067,1.7871325e-05,-1.4362881e-06,0.0,0.019706313,0.0012057871,0.0115567185,0.22147341,0.0,0.1,-0.034378078,0.17780226,0.7326803,0.12676458,0.18027705,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
29310379,0,0.0,0.0,0.0,0.0,0.13145086,7.14853e-08,-5.745153e-09,0.0,0.00948884,-0.0034432418,0.0337717,-0.0074261143,1.7871325e-05,-1.4362881e-06,0.0,-0.00050079025,-0.003937827,0.02119218,0.22133487,0.0,0.1,-0.0337717,0.17648491,0.73075145,0.1261056,0.18009743,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
29414379,0,0.0,0.0,0.0,0.0,0.13031742,7.14853e-08,-5.745153e-09,0.0,0.0095797,-0.003592921,0.033657867,-0.0075267367,1.7871325e-05,-1.4362881e-06,0.0,0.007492573,0.015133548,-0.0031572466,0.22115159,0.0,0.1,-0.033657867,0.17603713,0.7300107,0.12585591,0.18011206,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
29822379,0,0.0,0.0,0.0,0.0,0.12987183,7.14853e-08,-5.745153e-09,0.0,0.010737424,-0.0042486605,0.032266922,-0.0044436036,1.7871325e-05,-1.4362881e-06,0.0,0.02266852,0.0007295894,0.007998135,0.22054166,0.0,0.1,-0.032266922,0.17884772,0.7338205,0.12695318,0.1811874,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
29918379,0,0.0,0.0,0.0,0.0,0.12840861,7.14853e-08,-5.745153e-09,0.0,0.01017661,-0.004487932,0.031725716,-0.0057054264,1.7871325e-05,-1.4362881e-06,0.0,-0.011863771,0.016459476,0.04584522,0.22042015,0.0,0.1,-0.031725716,0.1774714,0.7319492,0.12626763,0.18100195,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
30022379,0,0.0,0.0,0.0,0.0,0.12350537,7.14853e-08,-5.745153e-09,0.0,0.010002701,-0.004550572,0.031106738,-0.010153061,1.7871325e-05,-1.4362881e-06,0.0,-0.013527835,-0.017750017,0.0023813285,0.22025467,0.0,0.1,-0.031106738,0.17692396,0.73124504,0.1259597,0.18100394,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
30222379,0,0.0,0.0,0.0,0.0,0.11738473,7.14853e-08,-5.745153e-09,0.0,0.009450892,-0.004376233,0.028971763,-0.015188817,1.7871325e-05,-1.4362881e-06,0.0,0.011180579,-0.008622113,0.008421918,0.219851,0.0,0.1,-0.028971763,0.17506962,0.72873944,0.12501514,0.1808199,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
30326384,0,0.0,0.0,0.0,0.0,0.11348211,7.14853e-08,-5.745153e-09,0.0,0.009741062,-0.004111217,0.027758688,-0.018330544,1.7871325e-05,-1.4362881e-06,0.0,0.012730861,-0.007504542,-0.028685497,0.2196911,0.0,0.1,-0.027758688,0.17456248,0.7280835,0.12474144,0.18082073,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
30430379,0,0.0,0.0,0.0,0.0,0.105836555,7.14853e-08,-5.745153e-09,0.0,0.009533836,-0.004323399,0.026390534,-0.024805993,1.7871325e-05,-1.4362881e-06,0.0,0.027891938,-0.020572051,0.026217597,0.21964738,0.0,0.1,-0.026390534,0.17401929,0.7274185,0.12444333,0.18081471,inf,inf,inf,inf,0,1,0,1,1,0,1,1,0,0,0
