timestamp,time_utc_usec,lat,lon,alt,alt_ellipsoid,s_variance_m_s,c_variance_rad,eph,epv,hdop,vdop,noise_per_ms,jamming_indicator,vel_m_s,vel_n_m_s,vel_e_m_s,vel_d_m_s,cog_rad,timestamp_time_relative,heading,heading_offset,fix_type,vel_ned_valid,satellites_used
8800000,0,473977419,85455940,488096,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.0,1.9869988,0,nan,nan,3,0,10
9000000,0,473977419,85455940,488097,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,0.01,4.3453927,0,nan,nan,3,0,10
9200000,0,473977419,85455940,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.3308628,0,nan,nan,3,0,10
9400000,0,473977420,85455939,488096,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.02,-0.01,4.8478584,0,nan,nan,3,0,10
9600000,0,473977420,85455939,488079,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,-0.07,1.7014713,0,nan,nan,3,0,10
9800000,0,473977420,85455940,488083,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.03,0.0,1.4962267,0,nan,nan,3,0,10
10000000,0,473977420,85455940,488082,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.01,3.6092346,0,nan,nan,3,0,10
10200000,0,473977420,85455939,488072,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.02,1.2681189,0,nan,nan,3,0,10
10500000,0,473977419,85455939,488085,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,0.4729703,0,nan,nan,3,0,10
10700000,0,473977420,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.51979,0,nan,nan,3,0,10
10900000,0,473977419,85455940,488085,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.01,1.3897648,0,nan,nan,3,0,10
11100000,0,473977419,85455939,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,5.050834,0,nan,nan,3,0,10
11300000,0,473977420,85455939,488102,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,-0.04,3.4685652,0,nan,nan,3,0,10
11500000,0,473977419,85455939,488099,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.0,5.9199824,0,nan,nan,3,0,10
11700000,0,473977419,85455940,488097,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.02,2.5425208,0,nan,nan,3,0,10
11900000,0,473977419,85455939,488103,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.0,4.827962,0,nan,nan,3,0,10
12100000,0,473977419,85455940,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.02,4.0675445,0,nan,nan,3,0,10
12300000,0,473977419,85455940,488087,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,0.03,0.6113708,0,nan,nan,3,0,10
12500000,0,473977419,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,1.7890843,0,nan,nan,3,0,10
12700000,0,473977419,85455939,488095,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,2.7816238,0,nan,nan,3,0,10
12900000,0,473977420,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.8937593,0,nan,nan,3,0,10
13100000,0,473977419,85455940,488089,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.01,-0.01,0.84645975,0,nan,nan,3,0,10
13300000,0,473977419,85455940,488093,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.01,0.01,1.1421099,0,nan,nan,3,0,10
13500000,0,473977419,85455940,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9002143,0,nan,nan,3,0,10
13700000,0,473977419,85455939,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.02,5.5559173,0,nan,nan,3,0,10
13900000,0,473977420,85455939,488087,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.02,0.02,5.415946,0,nan,nan,3,0,10
14100000,0,473977420,85455939,488095,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,2.4856248,0,nan,nan,3,0,10
14300000,0,473977420,85455939,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.01,4.9239526,0,nan,nan,3,0,10
14500000,0,473977419,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0756147,0,nan,nan,3,0,10
14700000,0,473977420,85455940,488089,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,0.0,0.0,0.10384403,0,nan,nan,3,0,10
14900000,0,473977420,85455939,488093,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.03,0.01,-0.01,0.42235723,0,nan,nan,3,0,10
15100000,0,473977420,85455940,488097,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,0.02,4.421138,0,nan,nan,3,0,10
15300000,0,473977420,85455939,488101,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,0.0,-0.02,6.197656,0,nan,nan,3,0,10
15500000,0,473977420,85455939,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.01,-0.01,0.0,5.494833,0,nan,nan,3,0,10
15800000,0,473977419,85455939,488090,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,-0.01,0.02,3.759503,0,nan,nan,3,0,10
16000000,0,473977419,85455939,488088,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.03,0.04,1.4625428,0,nan,nan,3,0,10
16200000,0,473977419,85455939,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,-0.01,-0.02,5.2492723,0,nan,nan,3,0,10
16404000,0,473977419,85455940,488087,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.01,3.7966774,0,nan,nan,3,0,10
16604000,0,473977419,85455939,488094,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,4.79358,0,nan,nan,3,0,10
16808000,0,473977419,85455939,488097,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.02,-0.03,0.01,5.443347,0,nan,nan,3,0,10
17008000,0,473977419,85455940,488092,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.435668,0,nan,nan,3,0,10
17208000,0,473977420,85455940,488095,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,-0.03,3.7104607,0,nan,nan,3,0,10
17408000,0,473977420,85455940,488091,0,0.25,0.0,1.0,1.0,0.0,0.0,0,0,0.0,-0.01,0.0,0.0,3.5460556,0,nan,nan,3,0,10
